Last Name,First Name,Position,Team,GP,TOI
Bieksa,Kevin,D,ANA,81,78341
Boll,Jared,F,ANA,51,17655
Cogliano,Andrew,F,ANA,82,65338
Cramarossa,Joseph,F,ANA,49,26412
Despres,Simon,D,ANA,1,568
Eaves,Patrick,F,ANA,20,16062
Etem,Emerson,F,ANA,3,1461
Fowler,Cam,D,ANA,80,91151
Garbutt,Ryan,F,ANA,27,12833
Getzlaf,Ryan,F,ANA,74,72418
Holzer,Korbinian,D,ANA,32,24230
Kase,Ondrej,F,ANA,53,36725
Kerdiles,Nicolas,F,ANA,1,668
Kesler,Ryan,F,ANA,82,77382
Kossila,Kalle,F,ANA,1,414
Larsson,Jacob,D,ANA,4,3192
Lindholm,Hampus,D,ANA,66,71879
Manson,Josh,D,ANA,82,79743
Megna,Jaycob,D,ANA,1,861
Montour,Brandon,D,ANA,27,24642
Noesen,Stefan,F,ANA,12,4710
Perry,Corey,F,ANA,82,72810
Rakell,Rickard,F,ANA,71,64376
Raymond,Mason,F,ANA,4,2099
Ritchie,Nick,F,ANA,77,57115
Sgarbossa,Michael,F,ANA,9,4796
Shaw,Logan,F,ANA,55,27058
Silfverberg,Jakob,F,ANA,79,70563
Sorensen,Nick,F,ANA,5,2953
Stoner,Clayton,D,ANA,14,12838
Theodore,Shea,D,ANA,34,29291
Thompson,Nate,F,ANA,30,15612
Tropp,Corey,F,ANA,1,568
Vatanen,Sami,D,ANA,71,71013
Vermette,Antoine,F,ANA,72,56575
Wagner,Chris,F,ANA,43,20353
Burmistrov,Alex,F,ARI,26,20132
Chychrun,Jakob,D,ARI,68,61237
Connauton,Kevin,D,ARI,24,17404
Crouse,Lawson,F,ARI,72,44849
Dauphin,Laurent,F,ARI,24,13220
Deangelo,Anthony,D,ARI,39,34144
Doan,Shane,F,ARI,74,59903
Domi,Max,F,ARI,59,50646
Duclair,Anthony,F,ARI,58,41911
Dvorak,Christian,F,ARI,78,62446
Ekman-Larsson,Oliver,D,ARI,79,91593
Fischer,Christian,F,ARI,7,5084
Gaudet,Tyler,F,ARI,4,2573
Goligoski,Alex,D,ARI,82,91952
Hanzal,Martin,F,ARI,51,43703
Holland,Peter,F,ARI,40,28593
Jooris,Josh,F,ARI,42,28680
Keller,Clayton,F,ARI,3,1971
Martinook,Jordan,F,ARI,77,60371
McBain,Jamie,D,ARI,3,2658
McGinn,Jamie,F,ARI,72,52663
Michalek,Zbynek,D,ARI,3,2944
Murphy,Connor,D,ARI,77,78840
Perlini,Brendan,F,ARI,57,44653
Pulkkinen,Teemu,F,ARI,4,2176
Richardson,Brad,F,ARI,16,12607
Rieder,Tobias,F,ARI,80,66046
Schenn,Luke,D,ARI,78,73928
Stone,Michael,D,ARI,45,44438
Strome,Dylan,F,ARI,7,4875
Vrbata,Radim,F,ARI,81,67815
White,Ryan,F,ARI,46,28999
Acciari,Noel,F,BOS,29,17648
Backes,David,F,BOS,74,64131
Beleskey,Matt,F,BOS,49,33250
Bergeron,Patrice,F,BOS,79,67864
Blidh,Anton,F,BOS,19,9677
Carlo,Brandon,D,BOS,82,89109
Cehlarik,Peter,F,BOS,11,8267
Chara,Zdeno,D,BOS,75,85984
Czarnik,Austin,F,BOS,49,29802
Forsbacka Karlsson,Jakob,F,BOS,1,505
Grzelcyk,Matt,D,BOS,2,1298
Hayes,Jimmy,F,BOS,58,31011
Heinen,Danton,F,BOS,8,5462
Krejci,David,F,BOS,82,75062
Krug,Torey,D,BOS,81,87260
Kuraly,Sean,F,BOS,8,4347
Liles,John-Michael,D,BOS,36,28773
Marchand,Brad,F,BOS,80,71244
Mcquaid,Adam,D,BOS,77,72978
Miller,Kevan,D,BOS,58,54732
Miller,Colin,D,BOS,61,50951
Moore,Dominic,F,BOS,82,52920
Morrow,Joe,D,BOS,17,14967
Nash,Riley,F,BOS,81,57374
O'Gara,Rob,D,BOS,3,2487
Pastrnak,David,F,BOS,75,69025
Schaller,Tim,F,BOS,59,37885
Spooner,Ryan,F,BOS,78,52607
Stafford,Drew,F,BOS,18,14171
Vatrano,Frank,F,BOS,44,30800
Austin,Brady,D,BUF,5,4645
Bailey,Justin,F,BUF,32,20406
Baptiste,Nicholas,F,BUF,14,7265
Bogosian,Zach,D,BUF,56,61236
Burgdoerfer,Erik,D,BUF,2,1340
Carrier,William,F,BUF,41,21987
Deslauriers,Nicolas,F,BUF,42,18530
Eichel,Jack,F,BUF,61,61110
Ennis,Tyler,F,BUF,51,35133
Falk,Justin,D,BUF,52,40352
Fasching,Hudson,F,BUF,10,5792
Fedun,Taylor,D,BUF,27,19690
Foligno,Marcus,F,BUF,80,67956
Franson,Cody,D,BUF,68,66026
Gionta,Brian,F,BUF,82,65007
Girgensons,Zemgus,F,BUF,75,53715
Gorges,Josh,D,BUF,66,62397
Grant,Derek,F,BUF,40,17045
Guhle,Brendan,D,BUF,3,2938
Kane,Evander,F,BUF,70,67679
Kulikov,Dmitry,D,BUF,47,54763
Larsson,Johan,F,BUF,36,32734
Malone,Sean,F,BUF,1,682
McCabe,Jake,D,BUF,76,82151
Moulson,Matt,F,BUF,81,46061
Nelson,Casey,D,BUF,11,8123
Nylander,Alex,F,BUF,4,2773
Okposo,Kyle,F,BUF,65,60987
O'Reilly,Cal,F,BUF,11,4648
O'Reilly,Ryan,F,BUF,72,70119
Reinhart,Sam,F,BUF,79,67467
Ristolainen,Rasmus,D,BUF,79,96163
Rodrigues,Evan,F,BUF,30,21003
Schneider,Cole,F,BUF,4,1714
Smith,C.J.,F,BUF,2,1347
Aho,Sebastian,F,CAR,82,70606
Bickell,Bryan,F,CAR,11,5999
Brown,Patrick,F,CAR,14,8063
Dahlbeck,Klas,D,CAR,43,34747
Di Giuseppe,Phillip,F,CAR,36,25462
Faulk,Justin,D,CAR,75,88696
Frk,Martin,F,CAR,2,1000
Hainsey,Ron,D,CAR,56,64043
Hanifin,Noah,D,CAR,81,77032
Lindholm,Elias,F,CAR,72,63677
McClement,Jay,F,CAR,65,36725
McGinn,Brock,F,CAR,57,38108
Murphy,Ryan,D,CAR,27,20698
Nakladal,Jakub,D,CAR,3,2596
Nestrasil,Andrej,F,CAR,19,11838
Nordstrom,Joakim,F,CAR,82,54198
Pesce,Brett,D,CAR,82,90634
Poturalski,Andrew,F,CAR,2,1450
Rask,Victor,F,CAR,82,72771
Rattie,Ty,F,CAR,5,4035
Ryan,Derek,F,CAR,67,49562
Skinner,Jeff,F,CAR,79,73268
Slavin,Jaccob,D,CAR,82,95410
Staal,Jordan,F,CAR,75,66773
Stalberg,Viktor,F,CAR,57,34635
Stempniak,Lee,F,CAR,82,68301
Tennyson,Matt,D,CAR,45,34924
Teravainen,Teuvo,F,CAR,81,67984
Tolchinsky,Sergey,F,CAR,2,1370
Wallmark,Lucas,F,CAR,8,5148
Zykov,Valentin,F,CAR,2,618
Anderson,Josh,F,CBJ,78,55004
Atkinson,Cam,F,CBJ,82,68836
Bjorkstrand,Oliver,F,CBJ,26,19330
Calvert,Matt,F,CBJ,65,44903
Carlsson,Gabriel,D,CBJ,2,2011
Dubinsky,Brandon,F,CBJ,80,70802
Foligno,Nick,F,CBJ,79,71806
Gagner,Sam,F,CBJ,81,54809
Hannikainen,Markus,F,CBJ,10,5055
Harrington,Scott,D,CBJ,22,16766
Hartnell,Scott,F,CBJ,78,49835
Jenner,Boone,F,CBJ,82,69247
Johnson,Jack,D,CBJ,82,94259
Jones,Seth,D,CBJ,75,88280
Karlsson,William,F,CBJ,81,56158
Korpikoski,Lauri,F,CBJ,9,4403
Milano,Sonny,F,CBJ,4,2418
Murray,Ryan,D,CBJ,60,57650
Nutivaara,Markus,D,CBJ,66,51542
Prout,Dalton,D,CBJ,15,10425
Quincey,Kyle,D,CBJ,20,17004
Saad,Brandon,F,CBJ,82,73601
Savard,David,D,CBJ,74,85114
Sedlak,Lukas,F,CBJ,62,33901
Tynan,T.J.,F,CBJ,3,1347
Wennberg,Alex,F,CBJ,80,72488
Werenski,Zach,D,CBJ,78,81268
Andersson,Rasmus,D,CGY,1,1000
Backlund,Mikael,F,CGY,81,64700
Bartkowski,Matt,D,CGY,24,21475
Bennett,Sam,F,CGY,81,61366
Bouma,Lance,F,CGY,61,35516
Brodie,T.J.,D,CGY,82,90915
Brouwer,Troy,F,CGY,74,54410
Chiasson,Alex,F,CGY,81,57433
Engelland,Deryk,D,CGY,81,73284
Ferland,Micheal,F,CGY,76,50447
Frolik,Michael,F,CGY,82,68177
Gaudreau,Johnny,F,CGY,72,65932
Giordano,Mark,D,CGY,81,86285
Grossmann,Nicklas,D,CGY,3,2147
Hamilton,Freddie,F,CGY,26,14719
Hamilton,Dougie,D,CGY,81,80356
Hathaway,Garnet,F,CGY,26,14065
Jankowski,Mark,F,CGY,1,618
Jokipakka,Jyrki,D,CGY,38,32250
Kulak,Brett,D,CGY,21,17450
Lazar,Curtis,F,CGY,4,2697
Monahan,Sean,F,CGY,82,69152
Shinkaruk,Hunter,F,CGY,7,4422
Stajan,Matt,F,CGY,81,52527
Stone,Michael,D,CGY,19,19704
Tkachuk,Matthew,F,CGY,76,57537
Versteeg,Kris,F,CGY,69,50337
Vey,Linden,F,CGY,4,2197
Wideman,Dennis,D,CGY,57,58201
Wotherspoon,Tyler,D,CGY,4,2616
Abbott,Spencer,F,CHI,1,514
Anisimov,Artem,F,CHI,64,56244
Campbell,Brian,D,CHI,80,80176
Desjardins,Andrew,F,CHI,46,24138
Forsling,Gustav,D,CHI,38,31466
Hartman,Ryan,F,CHI,76,55433
Hayden,John,F,CHI,12,8225
Hinostroza,Vinnie,F,CHI,49,34277
Hjalmarsson,Niklas,D,CHI,73,81448
Hossa,Marian,F,CHI,73,59512
Jurco,Tomas,F,CHI,13,8678
Kane,Patrick,F,CHI,82,88147
Keith,Duncan,D,CHI,80,96053
Kempny,Michal,D,CHI,50,42529
Kero,Tanner,F,CHI,47,33710
Kruger,Marcus,F,CHI,70,49185
Motte,Tyler,F,CHI,33,20161
Oduya,Johnny,D,CHI,15,14916
Panarin,Artemi,F,CHI,82,80184
Panik,Richard,F,CHI,82,64352
Rasmussen,Dennis,F,CHI,68,40892
Rozsival,Michal,D,CHI,22,18775
Schmaltz,Nick,F,CHI,61,44650
Seabrook,Brent,D,CHI,79,82051
Toews,Jonathan,F,CHI,72,69840
Tootoo,Jordin,F,CHI,50,20177
van Riemsdyk,Trevor,D,CHI,58,59163
Andrighetto,Sven,F,COL,19,17247
Barberio,Mark,D,COL,34,36904
Barrie,Tyson,D,COL,74,87440
